POSTCODE,TOTSENAP,TOWN,PSENSAP,CLOSEDATE,TOTPUPSENDN,AGEH,TSENA,PNUMNOFSM,ISNEW,LAESTAB,ISPOST16,NUMNOFSM,TSENSAP,NORB,LOCALITY,PNORG,NORG,SFGENDER,LAT,ICLOSE,OPENDATE,RELDENOM,NUMFSMEVER,PNUMFSM,LNG,STREET,PNUMUNCFL,ISSECONDARY,ADDRESS3,PNUMFSMEVER,ADMPOL,NUMEAL,GENDER,NUMUNCFL,LA,AGEL,PTOTSENST,SCHNAME,PNUMEAL,URN,PSENA,TOTSENST,PNORB,ISPRIMARY,NUMENGFL,ESTAB,PNUMENGFL,NEWACFLAG,NFTYPE,NUMFSM,MINORGROUP,PTOTSENAP,TELNUM
WF3 1JQ,17,Wakefield,1.1,,1829,18,150,90.2,0,3834105,1,1371,20,948,Tingley,48.2,881,Mixed,53.7294753,1,,Does not apply,334.0,9.8,-1.5855759,Rein Road,0.0,1,,22.0,Comprehensive,111,Mixed,0,383,11,0.2,Woodkirk Academy,6.1,137383,8.2,3,51.8,0,1718,4105,93.9,6,Academy - Converter Mainstream,149,Academy (including Free Schools),0.9,0113 3368140
LS7 3PD,27,Leeds,6.8,,455,11,21,80.0,0,3832427,0,351,31,247,,45.7,208,Mixed,53.8268599,1,,Does not apply,133.0,20.0,-1.5373298,Harrogate Road,SUPP,0,,32.4,Not applicable,55,Mixed,SUPP,383,3,0.9,Chapel Allerton Primary School,15.7,107903,4.6,4,54.3,1,293,2427,83.7,6,Community School,88,Maintained School,5.9,0113 2624851
LS19 6PP,15,Leeds,5.3,,302,11,11,97.0,0,3833031,0,293,16,167,Rawdon,44.7,135,Mixed,53.84995259999999,1,,Church of England,19.0,3.0,-1.6709007,Town Street,0.0,0,,6.3,Not applicable,SUPP,Mixed,0,383,4,SUPP,Rawdon St Peter's Church of England Voluntary Controlled Primary School,SUPP,107986,3.6,SUPP,55.3,1,257,3031,99.6,6,Voluntary Controlled School,9,Maintained School,5.0,0113 2504201
LS25 1LL,37,Leeds,11.4,,350,11,19,82.4,0,3833917,0,258,40,197,Garforth,43.7,153,Mixed,53.7900246,1,,,83.0,17.6,-1.3923671,Lidgett Lane,0.0,0,,27.7,Not applicable,3,Mixed,0,383,3,0.9,Strawberry Fields Primary School,1.2,134405,5.4,3,56.3,1,255,3917,98.8,6,Foundation School,55,Maintained School,10.6,0113 2320796
LS25 7EJ,13,Leeds,6.4,,218,11,6,89.8,0,3832399,0,158,14,116,Kippax,46.8,102,Mixed,53.77787050000001,1,,,37.0,10.2,-1.3803079,Brexdale Avenue,0.0,0,,21.0,Not applicable,3,Mixed,0,383,3,SUPP,Kippax North Junior Infant & Nursery School,2.1,107875,2.8,SUPP,53.2,1,143,2399,97.9,6,Foundation School,18,Maintained School,6.0,0113 2869427
LS11 7EN,,Leeds,,,,16,,,1,3836000,0,,,,,,,Mixed,53.76905480000001,1,,,,,-1.5597197,Barkly Road,,1,Beeston,,Not collected,,Mixed,,383,11,,Eden Park Academy,,139733,,,,0,,6000,,6,Other Independent Special School,,Special School,,01228 631770
LS9 7AX,,Leeds,,,,11,,,1,3832012,0,,,,Harehills,,,Mixed,53.7980233,1,01/09/2014,,,,-1.5055776,Stanley Road,,0,,,Not applicable,,Mixed,,383,4,,Nightingale Primary Academy,,139701,,,,1,,2012,,3,Academy Sponsor Led,,Academy (including Free Schools),,
WF3 1AR,24,Wakefield,3.5,,737,11,8,94.5,0,3832297,0,598,26,372,Tingley,49.5,365,Mixed,53.7242115,1,,Does not apply,79.0,5.5,-1.5794487,Hesketh Lane,0.0,0,,12.5,Not applicable,18,Mixed,0,383,3,SUPP,Westerton Primary School,3.3,107825,1.1,SUPP,50.5,1,525,2297,96.7,6,Community School,35,Maintained School,3.3,0113 2533504
LS25 1NT,31,Leeds,8.0,,464,11,21,96.9,0,3832397,0,402,37,235,Garforth,49.4,229,Mixed,53.788964,1,,,43.0,3.1,-1.3776304,Ninelands Lane,0.0,0,,10.4,Not applicable,3,Mixed,0,383,3,1.3,Ninelands Primary School,0.9,107873,4.5,6,50.6,1,349,2397,99.1,6,Foundation School,13,Maintained School,6.7,0113 2878370
LS28 5NF,8,Pudsey,2.5,,314,11,7,94.9,0,3833046,0,298,8,169,Calverley,46.2,145,Mixed,53.8293549,1,,Church of England,22.0,5.1,-1.6852981,Towngate,0.0,0,,7.0,Not applicable,8,Mixed,0,383,4,0.0,Calverley Church of England Voluntary Aided Primary School,3.1,107996,2.2,0,53.8,1,246,3046,96.9,6,Voluntary Aided School,16,Maintained School,2.5,0113 2146101
LS9 6QH,39,Leeds,10.3,,380,11,30,43.9,0,3832457,0,145,39,203,,46.6,177,Mixed,53.8064328,1,,Does not apply,234.0,56.1,-1.4906322,Brander Street,0.0,0,,70.9,Not applicable,84,Mixed,0,383,3,0.0,Wykebeck Primary School,31.1,107933,7.9,0,53.4,1,186,2457,68.9,6,Community School,185,Maintained School,10.3,0113 2491525
LS15 8TA,102,Leeds,13.1,,929,18,260,75.6,1,3834055,1,632,122,498,Barwick Road,46.4,431,Mixed,53.8153601,1,01/01/2014,Does not apply,391.5,24.4,-1.4348111,Smeaton Approach,SUPP,1,,46.9,Comprehensive,13,Mixed,SUPP,383,11,2.2,John Smeaton Academy,1.4,139282,28.0,20,53.6,0,915,4055,98.5,3,Academy Sponsor Led,204,Academy (including Free Schools),11.0,0113 3368363
LS27 7HU,17,Leeds,7.5,,241,11,SUPP,92.5,0,3832369,0,184,18,112,Gildersome,53.5,129,Mixed,53.755823,1,,Does not apply,21.0,7.5,-1.6354955,Birchfield Avenue,0.0,0,,10.6,Not applicable,4,Mixed,0,383,3,SUPP,Birchfield Primary School,2.4,107863,SUPP,SUPP,46.5,1,163,2369,97.6,6,Community School,15,Maintained School,7.1,0113 2533009
LS9 7PY,68,Leeds,16.8,,404,11,115,59.5,0,3832446,0,239,68,197,,51.2,207,Mixed,53.7996867,1,,Does not apply,220.0,40.5,-1.5225506,Rigton Drive,0.0,0,,62.8,Not applicable,163,Mixed,0,383,3,0.0,Ebor Gardens Primary School,55.4,107922,28.5,0,48.8,1,131,2446,44.6,6,Community School,163,Maintained School,16.8,0113 2482750
LS26 8DX,28,Leeds,13.8,,217,11,19,85.8,0,3832328,0,163,30,100,Swillington,53.9,117,Mixed,53.769578,1,,,47.0,14.2,-1.418373,Church Lane,0.0,0,,24.7,Not applicable,3,Mixed,0,383,3,SUPP,Swillington Primary School,1.9,107843,8.8,SUPP,46.1,1,154,2328,98.1,6,Foundation School,27,Maintained School,12.9,0113 2863220
LS13 1DQ,11,Leeds,6.3,,254,11,18,62.8,0,3832491,0,125,16,120,,52.8,134,Mixed,53.8133851,1,,Does not apply,100.0,37.2,-1.6535595,Intake Lane,0.0,0,,50.3,Not applicable,5,Mixed,0,383,3,2.0,Summerfield Primary School,3.0,107967,7.1,5,47.2,1,164,2491,97.0,6,Community School,74,Maintained School,4.3,0113 2057520
WF10 2DR,37,Castleford,13.9,,274,11,58,78.0,0,3832507,0,191,38,162,Allerton Bywater,40.9,112,Mixed,53.7471477,1,,,78.0,22.0,-1.3702785,Leeds Road,0.0,0,,34.5,Not applicable,3,Mixed,0,383,3,SUPP,Allerton Bywater Primary School,1.7,107983,21.2,SUPP,59.1,1,172,2507,98.3,6,Foundation School,54,Maintained School,13.5,01977 522620
LS7 1SR,30,Leeds,12.5,,273,11,28,64.8,0,3832412,0,177,34,152,,44.3,121,Mixed,53.8089595,1,,Does not apply,151.0,35.2,-1.5399399,Meanwood Street,0.0,0,,55.3,Not applicable,165,Mixed,0,383,5,1.5,Little London Community Primary School and Nursery,75.0,107888,10.3,4,55.7,1,55,2412,25.0,6,Foundation School,96,Maintained School,11.0,0113 2442457
LS4 2QZ,25,Leeds,11.7,,231,11,6,75.0,0,3832411,0,147,27,130,,43.7,101,Mixed,53.8084275,1,,Does not apply,76.0,25.0,-1.5869653,Argie Road,0.0,0,,39.0,Not applicable,56,Mixed,0,383,3,SUPP,Kirkstall Valley Primary School,33.5,107887,2.6,SUPP,56.3,1,111,2411,66.5,6,Community School,49,Maintained School,10.8,0113 3368030
LS18 5JP,9,Leeds,3.6,,251,11,14,97.6,0,3832334,0,203,9,129,Horsforth,48.6,122,Mixed,53.8413724,1,,Does not apply,11.0,2.4,-1.6530774,West End Lane,0.0,0,,5.3,Not applicable,4,Mixed,0,383,3,0.0,West End Primary School,2.3,107846,5.6,0,51.4,1,173,2334,97.7,6,Community School,5,Maintained School,3.6,0113 2582819
LS28 7SR,10,Pudsey,2.5,,446,11,13,82.1,0,3833920,0,322,11,214,,52.0,232,Mixed,53.7949768,1,,Does not apply,124.0,17.9,-1.6769309,Victoria Road,SUPP,0,,31.6,Not applicable,38,Mixed,SUPP,383,3,SUPP,Pudsey Waterloo Primary,11.4,134408,2.9,SUPP,48.0,1,293,3920,88.3,6,Community School,70,Maintained School,2.2,0113 3230342
LS27 0AW,23,Leeds,5.3,,437,11,30,82.5,0,3833926,0,307,23,207,Morley,52.6,230,Mixed,53.7389356,1,,Does not apply,103.0,17.5,-1.6101798,Fountain Street,0.0,0,,27.8,Not applicable,10,Mixed,0,383,3,0.0,Fountain Primary School,3.2,134973,6.9,0,47.4,1,301,3926,96.8,6,Community School,65,Maintained School,5.3,0113 8878235
LS16 7DH,32,Leeds,11.3,,309,11,14,78.0,0,3832418,0,241,35,171,Cookridge,44.7,138,Mixed,53.8554222,1,,Does not apply,104.0,22.0,-1.6153115,Tinshill Drive,SUPP,0,,33.7,Not applicable,59,Mixed,SUPP,383,5,1.0,Cookridge Primary School,22.4,107894,4.5,3,55.3,1,203,2418,77.2,6,Foundation School,68,Maintained School,10.4,0113 3862500
LS6 2DT,18,Leeds,8.8,,204,11,14,76.0,0,3833929,0,155,18,116,Headingley,43.1,88,Mixed,53.82212680000001,1,,Church of England,63.0,24.0,-1.5739899,Wood Lane,0.0,0,,30.9,Not applicable,33,Mixed,0,383,4,0.0,Shire Oak VC Primary School,19.1,131570,6.9,0,56.9,1,140,3929,80.9,6,Voluntary Controlled School,49,Maintained School,8.8,0113 2755890
LS13 1DQ,75,Leeds,7.2,,1173,19,183,66.6,0,3836906,1,643,84,550,,53.1,623,Mixed,53.814462,1,,Does not apply,501.5,33.4,-1.6537,Intake Lane,SUPP,1,Rodley,51.9,Comprehensive,45,Mixed,SUPP,383,11,0.8,Leeds West Academy,3.8,135935,15.6,9,46.9,0,1126,6906,96.0,6,Academy Sponsor Led,322,Academy (including Free Schools),6.4,0113 2295454
LS15 7SY,36,Leeds,7.5,,491,11,11,87.6,0,3832465,0,367,37,219,,55.4,272,Mixed,53.7982592,1,,,93.0,12.4,-1.4644323,Pinfold Lane,0.0,0,,22.2,Not applicable,14,Mixed,0,383,3,SUPP,Templenewsam Halton Primary School,3.9,107941,2.2,SUPP,44.6,1,345,2465,96.1,6,Foundation School,52,Maintained School,7.3,0113 2930314
LS8 2PW,0,Leeds,100.0,,204,19,0,56.8,0,3837015,1,84,204,121,,40.7,83,Mixed,53.8233116,1,,Does not apply,81.0,43.2,-1.4945188,Hollin Hill Drive,0.0,1,,55.1,Not applicable,50,Mixed,0,383,2,100.0,John Jamieson School,25.3,108119,0.0,204,59.3,1,148,7015,74.7,6,Community Special School,64,Special School,0.0,0113 2930236
BD10 0NR,,Bradford,,,,18,,,0,3836113,1,,,,,,,Mixed,53.840143,1,,Methodist,,,-1.700381,Apperley Bridge,,1,,,Not collected,,Mixed,,383,3,,Woodhouse Grove School,,108114,,,,1,,6113,,6,Other Independent School,,Independent School,,0113 2502477
LS27 7AB,19,Leeds,5.8,,327,11,13,87.1,0,3832336,0,244,19,160,Gildersome,51.1,167,Mixed,53.7578237,1,,Does not apply,65.0,12.9,-1.630214,Town Street,0.0,0,,23.2,Not applicable,3,Mixed,0,383,4,0.0,Gildersome Primary School,1.4,107848,4.0,0,48.9,1,217,2336,98.6,6,Community School,36,Maintained School,5.8,0113 2012450
LS9 8PN,8,Leeds,5.9,,454,11,62,52.2,0,3832451,0,210,27,230,,49.3,224,Mixed,53.79191909999999,1,,Does not apply,253.0,47.8,-1.5196203,Clark Lane,0.0,0,,62.9,Not applicable,100,Mixed,0,383,3,4.2,Richmond Hill Primary School,31.6,107927,13.7,19,50.7,1,216,2451,68.4,6,Community School,192,Maintained School,1.8,0113 01133368
LS21 2BB,67,Otley,5.6,,1435,18,89,94.1,0,3834501,1,1062,80,760,,47.0,675,Mixed,53.9126857,1,,,153.0,5.9,-1.6938521,Farnley Lane,0.0,1,,13.5,Comprehensive,37,Mixed,0,383,11,0.9,Otley Prince Henry's Grammar School Specialist Language College,2.6,137704,6.2,13,53.0,0,1398,4501,97.4,6,Academy - Converter Mainstream,67,Academy (including Free Schools),4.7,01943 463524
LS17 6HQ,,Leeds,,,,16,,,0,3836099,0,,,,,,,Mixed,53.8441547,1,,Jewish,,,-1.5265015,399 Street Lane,,1,,,Non selective,,Mixed,,383,3,,Leeds Menorah School,,108110,,,,1,,6099,,6,Other Independent School,,Independent School,,0113 2697709
LS16 9BR,4,Leeds,2.1,,283,11,19,98.2,0,3832406,0,278,6,163,Bramhope,42.4,120,Mixed,53.8819844,1,,Does not apply,14.0,1.8,-1.6175833,Tredgold Crescent,0.0,0,,4.9,Not applicable,21,Mixed,0,383,4,SUPP,Bramhope Primary School,8.6,107882,6.7,SUPP,57.6,1,222,2406,91.4,6,Community School,5,Maintained School,1.4,0113 2671222
LS14 6TY,39,Leeds,6.7,,608,19,89,48.3,0,3834000,1,252,41,181,Seacroft,70.2,427,Mixed,53.815817,1,,Does not apply,396.0,51.7,-1.461857,South Parkway,1.8,1,,75.9,Comprehensive,161,Mixed,11,383,11,SUPP,Leeds East Academy,26.5,136826,14.6,SUPP,29.8,0,436,4000,71.7,6,Academy Sponsor Led,270,Academy (including Free Schools),6.4,0113 2731964
LS17 6SX,8,Leeds,2.0,,407,11,17,96.8,0,3833381,0,394,8,197,,51.6,210,Mixed,53.8375712,1,,Roman Catholic,27.0,3.2,-1.5360932,292 Harrogate Road,0.0,0,,6.6,Not applicable,15,Mixed,0,383,5,0.0,Immaculate Heart of Mary Catholic Primary School,4.3,108035,4.2,0,48.4,1,332,3381,95.7,6,Voluntary Aided School,13,Maintained School,2.0,0113 2660728
LS23 6DF,0,Wetherby,100.0,,66,19,0,92.9,0,3837016,1,39,66,44,Boston Spa,33.3,22,Mixed,53.8999799,1,,Does not apply,12.0,7.1,-1.3506432,Church Street,0.0,1,,NP,Not applicable,4,Mixed,0,383,3,100.0,St John's Catholic School for the Deaf (Boston Spa),6.2,108120,0.0,66,66.7,1,61,7016,93.8,6,Non-Maintained Special School,3,Special School,0.0,01937 842144
LS6 1EW,14,Leeds,5.2,,268,11,3,77.6,0,3832409,0,208,14,137,,48.9,131,Mixed,53.8132179,1,,Does not apply,91.0,22.4,-1.5709108,Welton Place,0.0,0,,41.2,Not applicable,156,Mixed,0,383,3,0.0,Brudenell Primary School,86.2,107885,1.1,0,51.1,1,25,2409,13.8,6,Foundation School,60,Maintained School,5.2,0113 2785168
LS13 2LQ,45,Leeds,11.2,,436,11,23,64.2,0,3832494,0,239,49,217,Bramley,50.2,219,Mixed,53.8178733,1,,Does not apply,176.0,35.8,-1.6270605,Wellington Grove,0.0,0,,47.3,Not applicable,20,Mixed,0,383,2,0.9,Whitecote Primary School,6.4,107970,5.3,4,49.8,1,292,2494,93.6,6,Community School,133,Maintained School,10.3,0113 2164800
LS26 8NT,21,Leeds,7.3,,328,11,8,75.1,0,3832327,0,208,24,165,Oulton,49.7,163,Mixed,53.7536922,1,,Does not apply,110.0,24.9,-1.4579539,Green Lea,0.0,0,,39.7,Not applicable,12,Mixed,0,383,3,0.9,Oulton Primary School,5.2,107842,2.4,3,50.3,1,220,2327,94.8,6,Community School,69,Maintained School,6.4,0113 2821344
LS19 7LF,17,Leeds,9.8,,234,11,21,82.7,0,3832356,0,177,23,130,Yeadon,44.4,104,Mixed,53.87196119999999,1,,Does not apply,64.0,17.3,-1.6901191,Coppice Wood Avenue,0.0,0,,30.9,Not applicable,13,Mixed,0,383,3,2.6,Queensway Primary School,7.3,107858,9.0,6,55.6,1,165,2356,92.7,6,Foundation School,37,Maintained School,7.3,01943 874925
LS6 4QE,37,Leeds,4.7,,910,16,95,88.0,0,3834751,0,799,43,439,Meanwood,51.8,471,Mixed,53.8386751,1,,Roman Catholic,257.0,12.0,-1.5603715,Tongue Lane,0.0,1,,28.2,Comprehensive,150,Mixed,0,383,11,0.7,Cardinal Heenan Catholic High School,16.5,108095,10.4,6,48.2,0,760,4751,83.5,6,Voluntary Aided School,109,Maintained School,4.1,0113 8873240
LS18 4QP,16,Leeds,10.5,,153,11,SUPP,81.0,0,3832283,0,124,16,72,Horsforth,52.9,81,Mixed,53.8285501,1,,Does not apply,43.0,19.0,-1.6481027,Featherbank Avenue,0.0,0,,28.1,Not applicable,9,Mixed,0,383,4,0.0,Horsforth Featherbank Primary School,7.3,107817,SUPP,0,47.1,1,114,2283,92.7,6,Community School,29,Maintained School,10.5,0113 2144811
LS19 7QR,23,Leeds,10.4,,230,11,8,81.7,0,3832002,0,188,24,131,Yeadon,43.0,99,Mixed,53.8633169,1,,Does not apply,83.0,18.3,-1.6841593,Rufford Avenue,0.0,0,,36.1,Not applicable,5,Mixed,0,383,5,SUPP,Rufford Park Primary School,2.7,134317,3.5,SUPP,57.0,1,180,2002,97.3,6,Foundation School,42,Maintained School,10.0,0113 3910906
,174234,,7.4,,3181361,,332187,84.3,,,,2308896,233933,1601177,,49.7,1580184,,,,,,784363.0,15.7,,,0.3,,,28.6,,455205,,8701,SEC,,1.9,,14.3,NAT,10.4,59699,50.3,,2710059,,85.4,,,431101,,5.5,
